Mouse.ID	Microbiota 	Diet	Gender	Genotype	Age.on.day.zero	Whole.gut.transit.time	Interval.between.FITC.gavage.and.euthanasia	Geometric.mean.of.fluorescence	Stomach.gut.segment.1	SI-1.gut.segment.2	SI-2.gut.segment.3	SI-3.gut.segment.4	SI-4.gut.segment.5	SI-5.gut.segment.6	SI-6.gut.segment.7	SI-7.gut.segment.8	SI-8.gut.segment.9	Cecum.gut.segment.10	Proximal.colon.gut.segment.11	Distal.colon.gut.segment.12
E3G7M2	BSH-low-1 + BSH-high-1	Bland	Male	Swiss-Webster wild-type	56	NA	2	7.20	0.0552	0.0086	0.0057	0.0463	0.0478	0.1284	0.3145	0.0005	0.2786	0.0514	0.0628	0.0000
E3G6M4	BSH-low-1 + BSH-high-1	Bland-->Turmeric	Female	Swiss-Webster wild-type	55	NA	2	7.33	0.0018	0.0002	0.0020	0.0003	0.0058	0.0364	0.7796	0.0009	0.1392	0.0105	0.0232	0.0000
E3G4M2	BSH-low-1 + BSH-high-1	Turmeric	Male	Swiss-Webster wild-type	51	NA	2	7.36	0.0222	0.0016	0.0000	0.0183	0.0150	0.3459	0.0005	0.2633	0.3284	0.0033	0.0015	0.0000
E3G5M1	BSH-low-1 + BSH-high-1	Turmeric-->Bland	Male	Swiss-Webster wild-type	52	NA	2	7.91	0.0444	0.0000	0.0001	0.0172	0.0502	0.0226	0.0032	0.4734	0.3008	0.0738	0.0144	0.0000
E3G6M2	BSH-low-1 + BSH-high-1	Bland-->Turmeric	Male	Swiss-Webster wild-type	55	NA	2	8.03	0.0148	0.0013	0.0000	0.0047	0.0561	0.0585	0.0681	0.2986	0.4845	0.0097	0.0036	0.0000
E3G4M1	BSH-low-1 + BSH-high-1	Turmeric	Male	Swiss-Webster wild-type	51	NA	2	8.12	0.0248	0.0045	0.0092	0.0000	0.0422	0.0083	0.1416	0.4568	0.0456	0.1974	0.0691	0.0005
E3G5M4	BSH-low-1 + BSH-high-1	Turmeric-->Bland	Female	Swiss-Webster wild-type	52	NA	2	8.32	0.0196	0.0015	0.0000	0.0003	0.0131	0.0251	0.1251	0.1345	0.6779	0.0022	0.0004	0.0003
E6G3M3	BSH-low-1 + BSH-high-1	Turmeric	Female	Swiss-Webster wild-type	46	3.92	2	8.51	0.0000	0.0014	0.0009	0.0003	0.0048	0.0640	0.0091	0.2888	0.5914	0.0344	0.0047	0.0003
E6G3M1	BSH-low-1 + BSH-high-1	Turmeric	Male	Swiss-Webster wild-type	46	4.47	2	8.52	0.0038	0.0003	0.0054	0.0054	0.0482	0.0255	0.0278	0.2453	0.4924	0.1093	0.0359	0.0007
E3G6M3	BSH-low-1 + BSH-high-1	Bland-->Turmeric	Female	Swiss-Webster wild-type	55	NA	2	8.54	0.0142	0.0007	0.0026	0.0001	0.0034	0.0425	0.0022	0.2375	0.6592	0.0145	0.0230	0.0000
E3G6M1	BSH-low-1 + BSH-high-1	Bland-->Turmeric	Male	Swiss-Webster wild-type	55	NA	2	9.09	0.0144	0.0015	0.0038	0.0030	0.0055	0.0248	0.0570	0.1948	0.1897	0.3579	0.1453	0.0023
E3G7M3	BSH-low-1 + BSH-high-1	Bland	Male	Swiss-Webster wild-type	56	NA	2	9.25	0.0018	0.0003	0.0000	0.0032	0.0126	0.0006	0.0620	0.1714	0.2944	0.2788	0.1701	0.0048
E3G7M1	BSH-low-1 + BSH-high-1	Bland	Male	Swiss-Webster wild-type	56	NA	2	9.32	0.0172	0.0005	0.0026	0.0046	0.0089	0.0390	0.0332	0.0313	0.2494	0.4822	0.1294	0.0017
